"State","n_total","pct_new","total_sales","avg_sales","total_sales_bil","avg_sales_thou","Region","Division","avg_gov_pay","pct_gov_pay","avg_gov_pay_thou"
"Arkansas",42625,25.3724340175953,9651160000,226420.175953079,9.65116,226.420175953079,"South","West South Central",73153,23.4969558599696,73.153
"California",70521,24.6111087477489,45154359000,640296.63504488,45.154359,640.29663504488,"West","Pacific",33390,7.63274864981121,33.39
"Florida",47590,28.6278629964278,7357343000,154598.508089935,7.357343,154.598508089935,"South","South Atlantic",33681,7.61584340113167,33.681
"Georgia",42439,29.4893847640142,9573252000,225576.757228021,9.573252,225.576757228021,"South","South Atlantic",24701,35.638347046316,24.701
"Illinois",72651,19.6611195991796,17009972000,234132.661628883,17.009972,234.132661628883,"Midwest","East North Central",14012,68.1938843228343,14.012
"Indiana",56649,20.9023989832124,11107336000,196072.940387297,11.107336,196.072940387297,"Midwest","East North Central",19852,55.6214736143379,19.852
"Iowa",86104,18.2418935241104,28956455000,336296.28124129,28.956455,336.29628124129,"Midwest","West North Central",12173,70.0037756095622,12.173
"Kansas",58569,20.6064641704656,18782726000,320693.984872543,18.782726,320.693984872543,"Midwest","West North Central",20661,63.6280972948397,20.661
"Minnesota",68822,17.7327017523466,18395390000,267289.384208538,18.39539,267.289384208538,"Midwest","West North Central",12710,65.0512173778762,12.71
"Missouri",95320,22.2177926982795,10525937000,110427.370960974,10.525937,110.427370960974,"Midwest","West North Central",14906,31.6883116883117,14.906
"Nebraska",46332,18.7343520676854,21983429000,474476.150392817,21.983429,474.476150392817,"Midwest","West North Central",29741,71.3308823529412,29.741
"North Carolina",46418,23.3422379249429,12900674000,277923.951915205,12.900674,277.923951915205,"South","South Atlantic",20715,21.2974240988857,20.715
"Texas",248416,25.699632873889,24924041000,100331.866707458,24.924041,100.331866707458,"South","West South Central",32502,14.8250422453942,32.502
"Washington",35793,23.4990081859581,9634461000,269171.6536753,9.634461,269.1716536753,"West","Pacific",43769,16.8419238062403,43.769
"Wisconsin",64793,18.253515040205,11427423000,176368.172487769,11.427423,176.368172487769,"Midwest","East North Central",6100,45.7445886194839,6.1
