"State","n_total","pct_new","total_sales","avg_sales","total_sales_bil","avg_sales_thou","Region","Division"
"Alabama",40592,26.8082380764683,5980595000,147334.326960978,5.980595,147.334326960978,"South","East South Central"
"Alaska",990,40.3030303030303,70459000,71170.7070707071,0.070459,71.1707070707071,"West","Pacific"
"Arizona",19086,19.0034580320654,3852008000,201823.745153516,3.852008,201.823745153516,"West","Mountain"
"Arkansas",42625,25.3724340175953,9651160000,226420.175953079,9.65116,226.420175953079,"South","West South Central"
"California",70521,24.6111087477489,45154359000,640296.63504488,45.154359,640.29663504488,"West","Pacific"
"Colorado",38893,27.0177152701,7491702000,192623.402668861,7.491702,192.623402668861,"West","Mountain"
"Connecticut",5521,26.535047998551,580114000,105074.080782467,0.580114,105.074080782467,"Northeast","New England"
"Delaware",2302,17.50651607298,1465973000,636825.803649001,1.465973,636.825803649001,"South","South Atlantic"
"Florida",47590,28.6278629964278,7357343000,154598.508089935,7.357343,154.598508089935,"South","South Atlantic"
"Georgia",42439,29.4893847640142,9573252000,225576.757228021,9.573252,225.576757228021,"South","South Atlantic"
"Hawaii",7328,28.0704148471616,563802000,76938.0458515284,0.563802,76.9380458515284,"West","Pacific"
"Idaho",24996,26.1521843494959,7567440000,302746.039366299,7.56744,302.746039366299,"West","Mountain"
"Illinois",72651,19.6611195991796,17009972000,234132.661628883,17.009972,234.132661628883,"Midwest","East North Central"
"Indiana",56649,20.9023989832124,11107336000,196072.940387297,11.107336,196.072940387297,"Midwest","East North Central"
"Iowa",86104,18.2418935241104,28956455000,336296.28124129,28.956455,336.29628124129,"Midwest","West North Central"
"Kansas",58569,20.6064641704656,18782726000,320693.984872543,18.782726,320.693984872543,"Midwest","West North Central"
"Kentucky",75966,24.4398809993945,5737920000,75532.7383303057,5.73792,75.5327383303057,"South","East South Central"
"Louisiana",27386,26.4879865624772,3172978000,115861.316000876,3.172978,115.861316000876,"South","West South Central"
"Maine",7600,29.1315789473684,666962000,87758.1578947368,0.666962,87.7581578947368,"Northeast","New England"
"Maryland",12429,22.4233647115617,2472806000,198954.541797409,2.472806,198.954541797409,"South","South Atlantic"
"Massachusetts",7241,23.9469686507388,475185000,65624.2231735948,0.475185,65.6242231735948,"Northeast","New England"
"Michigan",47641,21.8719170462417,8220936000,172560.10579123,8.220936,172.56010579123,"Midwest","East North Central"
"Minnesota",68822,17.7327017523466,18395390000,267289.384208538,18.39539,267.289384208538,"Midwest","West North Central"
"Mississippi",34988,24.7227620898594,6195969000,177088.401737739,6.195969,177.088401737739,"South","East South Central"
"Missouri",95320,22.2177926982795,10525937000,110427.370960974,10.525937,110.427370960974,"Midwest","West North Central"
"Montana",27048,19.8092280390417,3520623000,130162.045252884,3.520623,130.162045252884,"West","Mountain"
"Nebraska",46332,18.7343520676854,21983429000,474476.150392817,21.983429,474.476150392817,"Midwest","West North Central"
"Nevada",3423,24.6275197195443,665758000,194495.471808355,0.665758,194.495471808355,"West","Mountain"
"New Hampshire",4123,26.6310938636915,187794000,45547.9020130973,0.187794,45.5479020130973,"Northeast","New England"
"New Jersey",9883,21.1676616412021,1097951000,111094.910452292,1.097951,111.094910452292,"Northeast","Middle Atlantic"
"New Mexico",25044,22.5722727998722,2582343000,103112.242453282,2.582343,103.112242453282,"West","Mountain"
"New York",33438,22.7435851426521,5369212000,160572.163406902,5.369212,160.572163406902,"Northeast","Middle Atlantic"
"North Carolina",46418,23.3422379249429,12900674000,277923.951915205,12.900674,277.923951915205,"South","South Atlantic"
"North Dakota",26364,17.4594143529055,8234102000,312323.698983462,8.234102,312.323698983462,"Midwest","West North Central"
"Ohio",77805,22.4934130197288,9341225000,120059.443480496,9.341225,120.059443480496,"Midwest","East North Central"
"Oklahoma",78531,26.4252333473405,7465512000,95064.5222905604,7.465512,95.0645222905604,"South","West South Central"
"Oregon",37616,24.6517439387495,5006821000,133103.493194385,5.006821,133.103493194385,"West","Pacific"
"Pennsylvania",53157,21.1242169422654,7758885000,145961.679553022,7.758885,145.961679553022,"Northeast","Middle Atlantic"
"Rhode Island",1043,24.1610738255034,57998000,55606.9031639501,0.057998,55.6069031639501,"Northeast","New England"
"South Carolina",24791,24.7912548908878,3008739000,121364.164414505,3.008739,121.364164414505,"South","South Atlantic"
"South Dakota",29968,17.4586225306994,9721523000,324396.789909237,9.721523,324.396789909237,"Midwest","West North Central"
"Tennessee",69983,23.3070888644385,3798934000,54283.6688910164,3.798934,54.2836688910164,"South","East South Central"
"Texas",248416,25.699632873889,24924041000,100331.866707458,24.924041,100.331866707458,"South","West South Central"
"Utah",18409,24.7053071867022,1838609000,99875.5500027161,1.838609,99.8755500027161,"West","Mountain"
"Vermont",6808,26.2044653349001,780968000,114713.278495887,0.780968,114.713278495887,"Northeast","New England"
"Virginia",43225,22.9427414690573,3960501000,91625.2400231348,3.960501,91.6252400231348,"South","South Atlantic"
"Washington",35793,23.4990081859581,9634461000,269171.6536753,9.634461,269.1716536753,"West","Pacific"
"West Virginia",23622,27.3981881297096,754279000,31931.2081957497,0.754279,31.9312081957497,"South","South Atlantic"
"Wisconsin",64793,18.253515040205,11427423000,176368.172487769,11.427423,176.368172487769,"Midwest","East North Central"
"Wyoming",11938,25.1298374937175,1472113000,123313.201541297,1.472113,123.313201541297,"West","Mountain"
